store_id,clinic_name,store_name,query
zenyum_003,ゼニュム提携歯科医院,赤坂さくら歯科クリニック（赤坂）,赤坂さくら歯科クリニック（赤坂） ゼニュム提携歯科医院
zenyum_004,ゼニュム提携歯科医院,おおじま駅前歯科・大島駅前矯正歯科（大島）,おおじま駅前歯科・大島駅前矯正歯科（大島） ゼニュム提携歯科医院
zenyum_005,ゼニュム提携歯科医院,サファイアデンタルクリニック（新宿）,サファイアデンタルクリニック（新宿） ゼニュム提携歯科医院
zenyum_006,ゼニュム提携歯科医院,Aクリニックデンタル(銀座),Aクリニックデンタル(銀座) ゼニュム提携歯科医院
zenyum_007,ゼニュム提携歯科医院,緑のテラス歯科クリニック（流山おおたかの森）,緑のテラス歯科クリニック（流山おおたかの森） ゼニュム提携歯科医院
zenyum_008,ゼニュム提携歯科医院,新福島ホワイトノア歯科・矯正歯科（大阪）,新福島ホワイトノア歯科・矯正歯科（大阪） ゼニュム提携歯科医院
zenyum_009,ゼニュム提携歯科医院,宝塚あさひ歯科クリニック（宝塚市）,宝塚あさひ歯科クリニック（宝塚市） ゼニュム提携歯科医院
zenyum_010,ゼニュム提携歯科医院,デュランタデンタルクリニック栄歯科・矯正歯科,デュランタデンタルクリニック栄歯科・矯正歯科 ゼニュム提携歯科医院
zenyum_011,ゼニュム提携歯科医院,仙台駅前歯科・矯正歯科(仙台),仙台駅前歯科・矯正歯科(仙台) ゼニュム提携歯科医院
zenyum_012,ゼニュム提携歯科医院,スコーネデンタルオフィス（伊勢崎市）,スコーネデンタルオフィス（伊勢崎市） ゼニュム提携歯科医院
zenyum_013,ゼニュム提携歯科医院,TOCHIGI DENTAL CLINIC（栃木市）,TOCHIGI DENTAL CLINIC（栃木市） ゼニュム提携歯科医院
zenyum_014,ゼニュム提携歯科医院,天神オーラルケアクリニック（福岡）,天神オーラルケアクリニック（福岡） ゼニュム提携歯科医院
zenyum_015,ゼニュム提携歯科医院,横田矯正歯科クリニック（福岡）,横田矯正歯科クリニック（福岡） ゼニュム提携歯科医院
zenyum_016,ゼニュム提携歯科医院,わかまつ歯科医院（札幌）,わかまつ歯科医院（札幌） ゼニュム提携歯科医院
kireiline_003,キレイライン矯正,アルディバラン渋谷デンタルクリニック,アルディバラン渋谷デンタルクリニック キレイライン矯正
kireiline_004,キレイライン矯正,キレイライン提携クリニック,キレイライン提携クリニック キレイライン矯正
kireiline_005,キレイライン矯正,新宿駅前矯正歯科クリニック,新宿駅前矯正歯科クリニック キレイライン矯正
kireiline_006,キレイライン矯正,池袋DDデンタルクリニック,池袋DDデンタルクリニック キレイライン矯正
kireiline_007,キレイライン矯正,新橋DDデンタルクリニック,新橋DDデンタルクリニック キレイライン矯正
kireiline_008,キレイライン矯正,コレクトデンタルクリニック 八王子,コレクトデンタルクリニック 八王子 キレイライン矯正
kireiline_009,キレイライン矯正,コレクトデンタルクリニック 吉祥寺,コレクトデンタルクリニック 吉祥寺 キレイライン矯正
kireiline_010,キレイライン矯正,空港口24時間歯科・小児歯科医院　江戸川,空港口24時間歯科・小児歯科医院　江戸川 キレイライン矯正
kireiline_011,キレイライン矯正,哲学堂デンタルクリニック,哲学堂デンタルクリニック キレイライン矯正
kireiline_012,キレイライン矯正,さくら歯科クリニック,さくら歯科クリニック キレイライン矯正
kireiline_013,キレイライン矯正,デンタルサロン麹町,デンタルサロン麹町 キレイライン矯正
kireiline_014,キレイライン矯正,伊藤歯科医院,伊藤歯科医院 キレイライン矯正
kireiline_015,キレイライン矯正,うぐいす谷駅前歯科,うぐいす谷駅前歯科 キレイライン矯正
kireiline_016,キレイライン矯正,赤坂さくら歯科クリニック,赤坂さくら歯科クリニック キレイライン矯正
kireiline_017,キレイライン矯正,吉祥寺まさむねデンタルクリニック,吉祥寺まさむねデンタルクリニック キレイライン矯正
kireiline_018,キレイライン矯正,おおじま駅前歯科・大島駅前矯正歯科,おおじま駅前歯科・大島駅前矯正歯科 キレイライン矯正
kireiline_019,キレイライン矯正,デンタルサロン ナチュール銀座,デンタルサロン ナチュール銀座 キレイライン矯正
kireiline_020,キレイライン矯正,下北沢デンタルケアオフィス,下北沢デンタルケアオフィス キレイライン矯正
kireiline_021,キレイライン矯正,あずさ歯科クリニック麴町,あずさ歯科クリニック麴町 キレイライン矯正
kireiline_022,キレイライン矯正,原宿ファースト歯科,原宿ファースト歯科 キレイライン矯正
kireiline_023,キレイライン矯正,アヤデンタルオフィス,アヤデンタルオフィス キレイライン矯正
kireiline_024,キレイライン矯正,初台 はまだ歯科・矯正歯科,初台 はまだ歯科・矯正歯科 キレイライン矯正
kireiline_025,キレイライン矯正,コレクトデンタルクリニック 札幌,コレクトデンタルクリニック 札幌 キレイライン矯正
kireiline_026,キレイライン矯正,関歯科・口腔医療クリニック,関歯科・口腔医療クリニック キレイライン矯正
kireiline_027,キレイライン矯正,仙台青葉矯正歯科クリニック,仙台青葉矯正歯科クリニック キレイライン矯正
kireiline_028,キレイライン矯正,奥州仙臺Premium デンタルクリニック卸町,奥州仙臺Premium デンタルクリニック卸町 キレイライン矯正
kireiline_029,キレイライン矯正,奥州PremiumMT歯科・矯正歯科　仙台駅西口,奥州PremiumMT歯科・矯正歯科　仙台駅西口 キレイライン矯正
kireiline_030,キレイライン矯正,くるみ歯科医院,くるみ歯科医院 キレイライン矯正
kireiline_031,キレイライン矯正,医療法人　西原歯科医院,医療法人　西原歯科医院 キレイライン矯正
kireiline_032,キレイライン矯正,郡山ラポール歯科,郡山ラポール歯科 キレイライン矯正
kireiline_033,キレイライン矯正,奥州福島Premiumデンタルクリニック,奥州福島Premiumデンタルクリニック キレイライン矯正
kireiline_034,キレイライン矯正,ファミリーとシニアの歯科医院　イオン福島診療所,ファミリーとシニアの歯科医院　イオン福島診療所 キレイライン矯正
kireiline_035,キレイライン矯正,水戸常北歯科,水戸常北歯科 キレイライン矯正
kireiline_036,キレイライン矯正,原田歯科医院,原田歯科医院 キレイライン矯正
kireiline_037,キレイライン矯正,大宮駅前矯正歯科クリニック,大宮駅前矯正歯科クリニック キレイライン矯正
kireiline_038,キレイライン矯正,柳崎歯科矯正クリニック (旧：すみれ歯科),柳崎歯科矯正クリニック (旧：すみれ歯科) キレイライン矯正
kireiline_039,キレイライン矯正,医療法人社団彩明会　熊谷デンタルクリニック,医療法人社団彩明会　熊谷デンタルクリニック キレイライン矯正
kireiline_040,キレイライン矯正,コレクトデンタルクリニック 船橋,コレクトデンタルクリニック 船橋 キレイライン矯正
kireiline_041,キレイライン矯正,コレクトデンタルクリニック 柏,コレクトデンタルクリニック 柏 キレイライン矯正
kireiline_042,キレイライン矯正,緑のテラス歯科クリニック,緑のテラス歯科クリニック キレイライン矯正
kireiline_043,キレイライン矯正,千葉ニュータウン河合歯科矯正歯科,千葉ニュータウン河合歯科矯正歯科 キレイライン矯正
kireiline_044,キレイライン矯正,栗山公園Dental Office(旧：はなさき歯科),栗山公園Dental Office(旧：はなさき歯科) キレイライン矯正
kireiline_045,キレイライン矯正,横浜DDデンタルクリニック,横浜DDデンタルクリニック キレイライン矯正
kireiline_046,キレイライン矯正,コレクトデンタルクリニック 茅ヶ崎,コレクトデンタルクリニック 茅ヶ崎 キレイライン矯正
kireiline_047,キレイライン矯正,湘南メディケア歯科・矯正歯科,湘南メディケア歯科・矯正歯科 キレイライン矯正
kireiline_048,キレイライン矯正,医療法人社団　追浜歯科医院,医療法人社団　追浜歯科医院 キレイライン矯正
kireiline_049,キレイライン矯正,川崎フロンティア歯科,川崎フロンティア歯科 キレイライン矯正
kireiline_050,キレイライン矯正,新丸子デンタルクリニック,新丸子デンタルクリニック キレイライン矯正
kireiline_051,キレイライン矯正,新潟矯正歯科クリニック,新潟矯正歯科クリニック キレイライン矯正
kireiline_052,キレイライン矯正,ブレス・デザイン　デンタルオフィス,ブレス・デザイン　デンタルオフィス キレイライン矯正
kireiline_053,キレイライン矯正,コレクトデンタルクリニック 金沢,コレクトデンタルクリニック 金沢 キレイライン矯正
kireiline_054,キレイライン矯正,ひかる歯科医院,ひかる歯科医院 キレイライン矯正
kireiline_055,キレイライン矯正,うちだ歯科クリニック,うちだ歯科クリニック キレイライン矯正
kireiline_056,キレイライン矯正,ケンデンタルクリニック岐阜,ケンデンタルクリニック岐阜 キレイライン矯正
kireiline_057,キレイライン矯正,ケンデンタルクリニック　モレラ岐阜院,ケンデンタルクリニック　モレラ岐阜院 キレイライン矯正
kireiline_058,キレイライン矯正,静岡呉服町デンタル矯正歯科,静岡呉服町デンタル矯正歯科 キレイライン矯正
kireiline_059,キレイライン矯正,名古屋DDデンタルクリニック,名古屋DDデンタルクリニック キレイライン矯正
kireiline_060,キレイライン矯正,名古屋ウィズ歯科・矯正歯科,名古屋ウィズ歯科・矯正歯科 キレイライン矯正
kireiline_061,キレイライン矯正,名駅アール歯科・矯正歯科,名駅アール歯科・矯正歯科 キレイライン矯正
kireiline_062,キレイライン矯正,エスカ歯科・矯正歯科,エスカ歯科・矯正歯科 キレイライン矯正
kireiline_063,キレイライン矯正,名古屋ルミナス歯科・矯正歯科,名古屋ルミナス歯科・矯正歯科 キレイライン矯正
kireiline_064,キレイライン矯正,名古屋茶屋歯科・矯正歯科,名古屋茶屋歯科・矯正歯科 キレイライン矯正
kireiline_065,キレイライン矯正,岡崎エルエル歯科・矯正歯科,岡崎エルエル歯科・矯正歯科 キレイライン矯正
kireiline_066,キレイライン矯正,名古屋あおい歯科・矯正歯科【旧：葵デンタルデザインオフィス】,名古屋あおい歯科・矯正歯科【旧：葵デンタルデザインオフィス】 キレイライン矯正
kireiline_067,キレイライン矯正,名古屋みなみ歯科・矯正歯科,名古屋みなみ歯科・矯正歯科 キレイライン矯正
kireiline_068,キレイライン矯正,ケンデンタルクリニック小牧医院,ケンデンタルクリニック小牧医院 キレイライン矯正
kireiline_069,キレイライン矯正,アピタ知立ファミリー歯科・矯正歯科,アピタ知立ファミリー歯科・矯正歯科 キレイライン矯正
kireiline_070,キレイライン矯正,ワイズ歯科矯正歯科＋KIDS イオン小牧店,ワイズ歯科矯正歯科＋KIDS イオン小牧店 キレイライン矯正
kireiline_071,キレイライン矯正,安城さくらい歯科・矯正歯科,安城さくらい歯科・矯正歯科 キレイライン矯正
kireiline_072,キレイライン矯正,桑名はらだ歯科クリニック,桑名はらだ歯科クリニック キレイライン矯正
kireiline_073,キレイライン矯正,京都四条矯正歯科クリニック,京都四条矯正歯科クリニック キレイライン矯正
kireiline_074,キレイライン矯正,梅田駅前矯正歯科クリニック,梅田駅前矯正歯科クリニック キレイライン矯正
kireiline_075,キレイライン矯正,心斎橋DDデンタルクリニック,心斎橋DDデンタルクリニック キレイライン矯正
kireiline_076,キレイライン矯正,新福島　ホワイトノア歯科　矯正歯科,新福島　ホワイトノア歯科　矯正歯科 キレイライン矯正
kireiline_077,キレイライン矯正,堺MK歯科クリニック,堺MK歯科クリニック キレイライン矯正
kireiline_078,キレイライン矯正,ひらおかデンタルクリニック,ひらおかデンタルクリニック キレイライン矯正
kireiline_079,キレイライン矯正,神戸三ノ宮駅前デンタル矯正歯科,神戸三ノ宮駅前デンタル矯正歯科 キレイライン矯正
kireiline_080,キレイライン矯正,神戸北野Nデンタルクリニック,神戸北野Nデンタルクリニック キレイライン矯正
kireiline_081,キレイライン矯正,ウインデンタルオフィス WIN Dental Office,ウインデンタルオフィス WIN Dental Office キレイライン矯正
kireiline_082,キレイライン矯正,エミ内科歯科クリニック,エミ内科歯科クリニック キレイライン矯正
kireiline_083,キレイライン矯正,岡本矯正歯科,岡本矯正歯科 キレイライン矯正
kireiline_084,キレイライン矯正,かのう歯科医院,かのう歯科医院 キレイライン矯正
kireiline_085,キレイライン矯正,けしごやまビーンズ歯科クリニック,けしごやまビーンズ歯科クリニック キレイライン矯正
kireiline_086,キレイライン矯正,岡山みなみ歯科クリニック,岡山みなみ歯科クリニック キレイライン矯正
kireiline_087,キレイライン矯正,くれいし歯科クリニック　西川原院,くれいし歯科クリニック　西川原院 キレイライン矯正
kireiline_088,キレイライン矯正,茶屋町みやけ歯科医院,茶屋町みやけ歯科医院 キレイライン矯正
kireiline_089,キレイライン矯正,まつしま歯科,まつしま歯科 キレイライン矯正
kireiline_090,キレイライン矯正,しんご歯科,しんご歯科 キレイライン矯正
kireiline_091,キレイライン矯正,のぞみデンタルクリニック,のぞみデンタルクリニック キレイライン矯正
kireiline_092,キレイライン矯正,おさふねフレンド歯科,おさふねフレンド歯科 キレイライン矯正
kireiline_093,キレイライン矯正,さかい歯科クリニック,さかい歯科クリニック キレイライン矯正
kireiline_094,キレイライン矯正,つつみ歯科クリニック,つつみ歯科クリニック キレイライン矯正
kireiline_095,キレイライン矯正,厚南ハピネス歯科,厚南ハピネス歯科 キレイライン矯正
kireiline_096,キレイライン矯正,スガタ歯科医院,スガタ歯科医院 キレイライン矯正
kireiline_097,キレイライン矯正,天神駅前矯正歯科クリニック,天神駅前矯正歯科クリニック キレイライン矯正
kireiline_098,キレイライン矯正,天神西通りデンタルクリニック,天神西通りデンタルクリニック キレイライン矯正
kireiline_099,キレイライン矯正,さとう歯科医院,さとう歯科医院 キレイライン矯正
kireiline_100,キレイライン矯正,スマイル髙城歯科【旧：スマイル歯科】,スマイル髙城歯科【旧：スマイル歯科】 キレイライン矯正
kireiline_101,キレイライン矯正,椿原松尾歯科,椿原松尾歯科 キレイライン矯正
kireiline_102,キレイライン矯正,うれしの・山口歯科医院,うれしの・山口歯科医院 キレイライン矯正
kireiline_103,キレイライン矯正,田口歯科医院,田口歯科医院 キレイライン矯正
kireiline_104,キレイライン矯正,熊本上通矯正歯科クリニック,熊本上通矯正歯科クリニック キレイライン矯正
kireiline_105,キレイライン矯正,医療法人ひじい歯科医院,医療法人ひじい歯科医院 キレイライン矯正
kireiline_106,キレイライン矯正,小野歯科医院,小野歯科医院 キレイライン矯正
kireiline_107,キレイライン矯正,医療法人　松永歯科クリニック,医療法人　松永歯科クリニック キレイライン矯正
kireiline_108,キレイライン矯正,青山歯科医院,青山歯科医院 キレイライン矯正
kireiline_109,キレイライン矯正,これえだ歯科医院,これえだ歯科医院 キレイライン矯正
kireiline_110,キレイライン矯正,うえだ歯科,うえだ歯科 キレイライン矯正