parameter_no,omt_stores,inv_stores,kireiline_stores,ws_stores,zenyum_stores,kireiline_stores
0,omt_001/omt_002/omt_003/omt_004/omt_005/omt_006/omt_007/omt_008,-,kireiline_001/kireiline_002/kireiline_003/kireiline_004/kireiline_005/kireiline_006/kireiline_007/kireiline_008/kireiline_009/kireiline_010/kireiline_011/kireiline_012/kireiline_013/kireiline_014/kireiline_015/kireiline_016/kireiline_017/kireiline_018/kireiline_019/kireiline_020/kireiline_021/kireiline_022/kireiline_023/kireiline_024/kireiline_025/kireiline_026/kireiline_027/kireiline_028/kireiline_029/kireiline_030/kireiline_031/kireiline_032/kireiline_033/kireiline_034/kireiline_035/kireiline_036/kireiline_037/kireiline_038/kireiline_039/kireiline_040/kireiline_041/kireiline_042/kireiline_043/kireiline_044/kireiline_045/kireiline_046/kireiline_047/kireiline_048/kireiline_049/kireiline_050/kireiline_051/kireiline_052/kireiline_053/kireiline_054/kireiline_055/kireiline_056/kireiline_057/kireiline_058/kireiline_059/kireiline_060/kireiline_061/kireiline_062/kireiline_063/kireiline_064/kireiline_065/kireiline_066/kireiline_067/kireiline_068/kireiline_069/kireiline_070/kireiline_071/kireiline_072/kireiline_073/kireiline_074/kireiline_075/kireiline_076/kireiline_077/kireiline_078/kireiline_079/kireiline_080/kireiline_081/kireiline_082/kireiline_083/kireiline_084/kireiline_085/kireiline_086/kireiline_087/kireiline_088/kireiline_089/kireiline_090/kireiline_091/kireiline_092/kireiline_093/kireiline_094/kireiline_095/kireiline_096/kireiline_097/kireiline_098/kireiline_099/kireiline_100/kireiline_101/kireiline_102/kireiline_103/kireiline_104/kireiline_105/kireiline_106/kireiline_107,ws_001/ws_002/ws_003/ws_004/ws_005/ws_006/ws_007/ws_008/ws_009/ws_010/ws_011/ws_012/ws_013/ws_014/ws_015/ws_016/ws_017/ws_018/ws_019/ws_020/ws_021/ws_022/ws_023/ws_024/ws_025/ws_026/ws_027/ws_028/ws_029/ws_030/ws_031/ws_032/ws_033/ws_034/ws_035/ws_036/ws_037/ws_038/ws_039/ws_040/ws_041/ws_042/ws_043/ws_044/ws_045/ws_046/ws_047/ws_048/ws_049/ws_050/ws_051/ws_052/ws_053/ws_054/ws_055/ws_056/ws_057/ws_058/ws_059/ws_060/ws_061/ws_062/ws_063/ws_064/ws_065/ws_066/ws_067/ws_068/ws_069/ws_070/ws_071/ws_072/ws_073/ws_074/ws_076/ws_078/ws_079/ws_080/ws_081/ws_082/ws_083/ws_084/ws_085/ws_086/ws_087/ws_088/ws_089/ws_090/ws_091/ws_092/ws_093/ws_094/ws_095/ws_096/ws_097/ws_098/ws_099/ws_100/ws_101/ws_102/ws_103/ws_104/ws_105/ws_106/ws_107/ws_108/ws_109/ws_110/ws_111/ws_112/ws_113/ws_114/ws_115/ws_116/ws_117/ws_118/ws_119/ws_120/ws_121/ws_122/ws_123,zenyum_001/zenyum_002/zenyum_003/zenyum_004/zenyum_005/zenyum_006/zenyum_007/zenyum_008/zenyum_009/zenyum_010/zenyum_011/zenyum_012/zenyum_013/zenyum_014,-
1,-,-,kireiline_022,ws_119/ws_120/ws_121,zenyum_014,-
2,-,-,-,-,-,-
3,-,-,-,-,-,-
4,-,-,kireiline_024/kireiline_025/kireiline_026/kireiline_027,ws_117,zenyum_009,-
5,-,-,-,-,-,-
6,-,-,-,ws_118,-,-
7,-,-,kireiline_028/kireiline_029/kireiline_030/kireiline_031,ws_116,-,-
8,-,-,kireiline_032/kireiline_033,-,-,-
9,-,-,-,ws_049,zenyum_011,-
10,-,-,-,-,zenyum_010,-
11,-,-,kireiline_034/kireiline_035/kireiline_036,ws_043/ws_044/ws_045/ws_046,-,-
12,-,-,kireiline_037/kireiline_038/kireiline_039/kireiline_040,ws_047/ws_048,zenyum_005,-
13,omt_001/omt_002/omt_003/omt_004,-,kireiline_001/kireiline_002/kireiline_003/kireiline_004/kireiline_005/kireiline_006/kireiline_007/kireiline_008/kireiline_009/kireiline_010/kireiline_011/kireiline_012/kireiline_013/kireiline_014/kireiline_015/kireiline_016/kireiline_017/kireiline_018/kireiline_019/kireiline_020/kireiline_021/kireiline_041,ws_001/ws_002/ws_003/ws_004/ws_005/ws_006/ws_007/ws_008/ws_009/ws_010/ws_011/ws_012/ws_013/ws_014/ws_015/ws_016/ws_017/ws_018/ws_019/ws_020/ws_021/ws_022/ws_023/ws_024/ws_025/ws_026/ws_027/ws_028/ws_029/ws_030/ws_031/ws_032/ws_033/ws_034/ws_035/ws_122/ws_123,zenyum_001/zenyum_002/zenyum_003/zenyum_004,-
14,-,-,kireiline_042/kireiline_043/kireiline_044/kireiline_045/kireiline_046/kireiline_047,ws_036/ws_037/ws_038/ws_039/ws_040/ws_041/ws_042,-,-
15,-,-,kireiline_048/kireiline_049,-,-,-
16,-,-,-,-,-,-
17,-,-,kireiline_050/kireiline_051/kireiline_052,-,-,-
18,-,-,-,-,-,-
19,-,-,-,-,-,-
20,-,-,-,ws_067,-,-
21,-,-,kireiline_023/kireiline_053/kireiline_054,ws_068,-,-
22,-,-,kireiline_055,ws_069,-,-
23,omt_007,-,kireiline_056/kireiline_057/kireiline_058/kireiline_059/kireiline_060/kireiline_061/kireiline_062/kireiline_063/kireiline_064/kireiline_065/kireiline_066/kireiline_067/kireiline_068,ws_050/ws_051/ws_052/ws_053/ws_054/ws_055/ws_056/ws_057/ws_058/ws_059/ws_060/ws_061/ws_062/ws_063/ws_064/ws_065/ws_066,zenyum_008,-
24,-,-,kireiline_069,-,-,-
25,-,-,-,ws_091,-,-
26,-,-,kireiline_041/kireiline_070,ws_082,-,-
27,omt_005/omt_006,-,kireiline_071/kireiline_072/kireiline_073/kireiline_074/kireiline_075,ws_070/ws_071/ws_072/ws_073/ws_074/ws_076/ws_078/ws_079/ws_080/ws_081,zenyum_006,-
28,-,-,kireiline_076/kireiline_077/kireiline_078/kireiline_079/kireiline_080/kireiline_081/kireiline_082,ws_083/ws_084/ws_085/ws_086/ws_087/ws_088/ws_089/ws_090,zenyum_007,-
29,-,-,-,-,-,-
30,-,-,-,-,-,-
31,-,-,-,-,-,-
32,-,-,-,-,-,-
33,-,-,kireiline_083/kireiline_084/kireiline_085/kireiline_086/kireiline_087/kireiline_088/kireiline_089/kireiline_090/kireiline_091,-,-,-
34,-,-,-,ws_092/ws_093/ws_094/ws_095/ws_096/ws_097/ws_098,-,-
35,-,-,kireiline_092/kireiline_093,-,-,-
36,-,-,-,-,-,-
37,-,-,-,ws_099,-,-
38,-,-,-,ws_100,-,-
39,-,-,-,ws_101,-,-
40,omt_008,-,kireiline_094/kireiline_095/kireiline_096,ws_102/ws_103/ws_104/ws_105/ws_106/ws_107/ws_108/ws_109/ws_110/ws_111,zenyum_012/zenyum_013,-
41,-,-,kireiline_099,-,-,-
42,-,-,-,-,-,-
43,-,-,kireiline_100/kireiline_101/kireiline_102/kireiline_103/kireiline_104/kireiline_105/kireiline_106/kireiline_107,ws_115,-,-
44,-,-,kireiline_097/kireiline_098,-,-,-
45,-,-,-,-,-,-
46,-,-,-,ws_112/ws_113/ws_114,-,-
47,-,-,-,-,-,-
48,omt_003,-,kireiline_003,ws_008/ws_011/ws_016/ws_021/ws_022,-,-
49,-,-,kireiline_012,ws_025,-,-
50,-,-,-,ws_002,-,-
51,omt_001,-,kireiline_019/kireiline_020,ws_003/ws_010/ws_013/ws_027,-,-
52,-,-,kireiline_006/kireiline_014,-,-,-
53,omt_002,-,kireiline_004/kireiline_016,ws_001/ws_005/ws_006/ws_024/ws_030/ws_033,zenyum_004,-
54,-,-,-,-,-,-
55,-,-,-,ws_002/ws_007/ws_034,-,-
56,omt_001,-,kireiline_001/kireiline_019/kireiline_020,ws_002/ws_003/ws_010/ws_012/ws_013/ws_026/ws_027/ws_028/ws_123,-,-
57,omt_004,-,kireiline_002/kireiline_021,ws_004/ws_018/ws_020/ws_023/ws_029,zenyum_003,-
58,-,-,-,-,-,-
59,-,-,-,-,-,-
60,-,-,-,-,-,-
61,-,-,kireiline_003,ws_008/ws_011/ws_021/ws_022/ws_023/ws_032,-,-
62,omt_002,-,kireiline_004/kireiline_013/kireiline_016,ws_001/ws_005/ws_006/ws_024/ws_030/ws_033/ws_122,zenyum_001/zenyum_004,-
63,-,-,-,ws_009/ws_034,-,-
64,-,-,-,ws_025,-,-
65,-,-,kireiline_001,ws_002/ws_007,-,-
66,omt_001,-,kireiline_019/kireiline_020,ws_003/ws_010,-,-
67,omt_002,-,kireiline_004/kireiline_016,ws_001/ws_005/ws_006/ws_024/ws_030/ws_033,zenyum_004,-
68,-,-,kireiline_013,ws_002/ws_003/ws_012/ws_026/ws_028/ws_122,zenyum_001,-
69,-,-,-,ws_025/ws_030,-,-
70,-,-,-,-,-,-
71,-,-,kireiline_015,ws_031,zenyum_002,-
72,-,-,-,-,-,-
73,-,-,-,-,-,-
74,-,-,-,ws_072/ws_081,-,-
75,omt_005,-,kireiline_072,ws_078/ws_081,-,-
76,-,-,-,-,-,-
77,-,-,kireiline_072,ws_078,-,-
78,omt_005,-,kireiline_072,ws_078/ws_081,-,-
79,omt_006,-,kireiline_071/kireiline_073,ws_070/ws_073/ws_074,zenyum_006,-
80,-,-,-,-,-,-
81,omt_007,-,kireiline_056/kireiline_057/kireiline_058/kireiline_060/kireiline_063,ws_050/ws_052/ws_053/ws_054/ws_056,zenyum_008,-
82,-,-,-,-,-,-
83,-,-,-,-,-,-
84,omt_007,-,kireiline_056/kireiline_057/kireiline_058/kireiline_059/kireiline_060/kireiline_063,ws_050/ws_052/ws_053/ws_054/ws_056/ws_058/ws_060/ws_065,zenyum_008,-
85,-,-,-,-,-,-
86,omt_008,-,kireiline_094/kireiline_095/kireiline_096,ws_102/ws_103/ws_104/ws_106/ws_108,zenyum_012/zenyum_013,-
87,omt_008,-,kireiline_094/kireiline_095/kireiline_096,ws_102/ws_103/ws_104/ws_106/ws_108,zenyum_012/zenyum_013,-
88,-,-,-,ws_105/ws_107/ws_110,-,-
89,-,-,-,-,-,-
90,-,-,kireiline_022,ws_119/ws_120,-,-
91,-,-,-,-,-,-
92,-,-,kireiline_076/kireiline_077/kireiline_078/kireiline_079,ws_084/ws_086/ws_088,-,-
93,-,-,kireiline_076/kireiline_077/kireiline_078/kireiline_079,ws_084/ws_086/ws_088,-,-
94,-,-,-,ws_087/ws_090,-,-
95,-,-,-,-,-,-
96,-,-,-,-,-,-
97,-,-,kireiline_046,-,-,-
98,-,-,kireiline_045,-,-,-
99,-,-,kireiline_017/kireiline_047,ws_017/ws_019/ws_027/ws_037/ws_040/ws_123,-,-
100,-,-,kireiline_047,ws_034/ws_037,-,-
101,-,-,kireiline_042,ws_036/ws_038/ws_039/ws_041/ws_042,-,-
102,-,-,kireiline_043/kireiline_044,-,-,-
103,-,-,kireiline_038/kireiline_039,ws_047,zenyum_005,-
104,-,-,kireiline_037,-,-,-
105,-,-,-,-,-,-
106,-,-,kireiline_034/kireiline_035,ws_043/ws_046,-,-
107,-,-,kireiline_034,-,-,-
108,-,-,-,-,-,-
109,-,-,kireiline_035,ws_046,-,-
110,-,-,-,-,-,-
111,-,-,kireiline_070,ws_082,-,-
112,-,-,-,ws_100,-,-
113,-,-,-,-,-,-
114,-,-,kireiline_050/kireiline_051/kireiline_052,-,-,-
115,-,-,-,-,-,-
116,-,-,kireiline_033,-,-,-
117,-,-,-,-,-,-
118,-,-,-,-,-,-
119,-,-,kireiline_085/kireiline_089,-,-,-
120,-,-,-,ws_099,-,-
121,-,-,-,-,-,-
122,-,-,-,-,-,-
123,-,-,-,-,-,-
124,-,-,-,-,-,-
125,-,-,-,-,-,-
126,-,-,-,-,-,-
127,-,-,-,-,-,-
128,-,-,-,-,-,-
129,-,-,-,-,-,-
130,-,-,-,-,-,-
131,-,-,-,-,-,-
132,-,-,kireiline_028/kireiline_029,ws_116,-,-
133,-,-,-,-,-,-
134,-,-,-,-,-,-
135,-,-,-,-,-,-
136,-,-,kireiline_024/kireiline_025/kireiline_026/kireiline_027,ws_117,zenyum_009,-
137,-,-,-,-,-,-
138,-,-,-,-,-,-
139,-,-,-,ws_118,-,-
140,-,-,-,-,-,-
141,-,-,-,-,-,-
142,-,-,-,-,-,-
143,-,-,-,-,-,-
144,-,-,-,-,-,-
145,-,-,-,-,-,-
146,-,-,-,-,-,-
147,-,-,-,-,-,-
148,-,-,-,-,-,-
149,-,-,-,-,-,-
150,-,-,-,-,-,-
151,-,-,-,-,-,-
152,-,-,-,-,-,-
153,-,-,-,-,-,-
154,-,-,-,-,-,-
155,-,-,-,-,-,-
156,-,-,-,-,-,-
157,-,-,-,-,-,-
158,-,-,-,-,-,-
159,-,-,-,-,-,-
160,-,-,-,-,-,-
161,-,-,-,-,-,-
162,-,-,-,-,-,-
163,-,-,-,-,-,-
164,-,-,-,-,-,-
165,-,-,-,-,-,-
166,-,-,-,-,-,-
167,-,-,-,-,-,-
168,-,-,-,-,-,-
169,-,-,-,-,-,-
170,-,-,-,-,-,-
171,-,-,-,-,-,-
172,-,-,-,-,-,-
173,-,-,-,-,-,-
174,-,-,-,-,-,-
175,-,-,-,-,-,-
176,-,-,-,-,-,-
177,-,-,-,-,-,-
178,-,-,-,-,-,-
179,-,-,-,-,-,-
180,-,-,-,-,-,-
181,-,-,-,-,-,-
182,-,-,-,-,-,-
183,-,-,-,-,-,-
184,-,-,-,-,-,-
185,-,-,-,-,-,-
186,-,-,-,-,-,-
187,-,-,-,-,-,-
188,-,-,-,-,-,-
189,-,-,-,-,-,-
190,-,-,-,-,-,-
191,-,-,-,-,-,-
192,-,-,-,-,-,-
193,-,-,-,-,-,-
194,-,-,-,-,-,-
195,-,-,-,-,-,-
196,-,-,-,-,-,-
197,-,-,-,-,-,-
198,-,-,-,-,-,-
199,-,-,-,-,-,-
200,-,-,-,-,-,-
201,-,-,-,-,-,-
202,-,-,-,-,-,-
203,-,-,-,-,-,-
204,-,-,-,-,-,-
205,-,-,-,-,-,-
206,-,-,-,-,-,-
207,-,-,-,-,-,-
208,-,-,-,-,-,-
209,-,-,-,-,-,-
210,-,-,-,-,-,-
211,-,-,-,-,-,-
212,-,-,-,-,-,-
213,-,-,-,-,-,-
214,-,-,-,-,-,-
215,-,-,-,-,-,-
216,-,-,-,-,-,-
217,-,-,-,-,-,-
218,-,-,-,-,-,-
219,-,-,-,-,-,-
220,-,-,-,-,-,-
221,-,-,-,-,-,-
222,-,-,-,-,-,-
223,-,-,-,-,-,-
224,-,-,-,-,-,-
225,-,-,-,-,-,-
226,-,-,-,-,-,-
227,-,-,-,-,-,-
228,-,-,-,-,-,-
229,-,-,-,-,-,-
230,-,-,-,-,-,-
231,-,-,-,-,-,-
232,-,-,-,-,-,-
233,-,-,-,-,-,-
234,-,-,-,-,-,-
235,-,-,-,-,-,-
236,-,-,-,-,-,-
237,-,-,-,-,-,-
238,-,-,-,-,-,-
239,-,-,-,-,-,-
240,-,-,-,-,-,-
241,-,-,-,-,-,-
242,-,-,-,-,-,-
243,-,-,-,-,-,-
244,-,-,-,-,-,-
245,-,-,-,-,-,-
246,-,-,-,-,-,-
247,-,-,-,-,-,-
248,-,-,-,-,-,-
249,-,-,-,-,-,-
250,-,-,-,-,-,-
251,-,-,-,-,-,-
252,-,-,-,-,-,-
253,-,-,-,-,-,-
254,-,-,-,-,-,-
255,-,-,-,-,-,-
256,-,-,-,-,-,-
257,-,-,-,-,-,-
258,-,-,-,-,-,-
259,-,-,-,-,-,-
260,-,-,-,-,-,-
261,-,-,-,-,-,-
262,-,-,-,-,-,-
263,-,-,-,-,-,-
264,-,-,-,-,-,-
265,-,-,-,-,-,-
266,-,-,-,-,-,-
267,-,-,-,-,-,-
268,-,-,-,-,-,-
269,-,-,-,-,-,-
270,-,-,-,-,-,-
271,-,-,-,-,-,-
272,-,-,-,-,-,-
273,-,-,-,-,-,-
274,-,-,-,-,-,-
275,-,-,-,-,-,-
276,-,-,-,-,-,-
277,-,-,-,-,-,-
278,-,-,-,-,-,-
279,-,-,-,-,-,-
280,-,-,-,-,-,-
281,-,-,-,-,-,-
282,-,-,-,-,-,-
283,-,-,-,-,-,-
284,-,-,-,-,-,-
285,-,-,-,-,-,-
286,-,-,-,-,-,-
287,-,-,-,-,-,-
288,-,-,-,-,-,-
289,-,-,-,-,-,-
290,-,-,-,-,-,-
291,-,-,-,-,-,-
292,-,-,-,-,-,-
293,-,-,-,-,-,-
294,-,-,-,-,-,-
295,-,-,-,-,-,-
296,-,-,-,-,-,-
297,-,-,-,-,-,-
298,-,-,-,-,-,-
299,-,-,-,-,-,-
300,-,-,-,-,-,-