項目名,説明,値
MV画像パス,メインビジュアルの背景画像,./images/mv.webp
MVアピールテキスト1,メインビジュアルの左側テキスト,【コスパ】×【続けやすさ】で選ぶ
MVアピールテキスト2,メインビジュアルの右側テキスト,
MVSVGテキスト1,メインビジュアルの大きなSVGテキスト,マウスピース矯正
MVSVGテキスト2,メインビジュアルの小さなSVGテキスト,ランキングTOP{{RANK_COUNT}}
ランキングバナー画像パス,ランキングセクションのバナー画像,./images/ranking_header_banner.webp
ランキング地域名テキスト,ランキングセクション上部の地域名に続くテキスト,で人気のマウスピース矯正はココ！
Tipsタブ1タイトル,Tipsセクションの1つ目のタブ,期間と効果
Tips1内容,Tips1の説明文,マウスピース矯正で<deco>目立たず理想の歯並びへ！</deco>日常で目立ちにくく、食事や歯磨きも<deco>これまで通り</deco>。軽度〜中等度のズレなら<deco>最短2ヶ月（平均9ヶ月）</deco>で段階的に整い、ワイヤー矯正と遜色ない効果が期待できます。装着初期に違和感が出る場合もありますが、多くは数日で慣れます。取り外し式で衛生的、<deco>痛み・負担が少ない</deco>のも大きな魅力です。
Tips1画像パス,Tips1セクションの画像,./images/Tips1.webp
Tipsタブ2タイトル,Tipsセクションの2つ目のタブ,向き・不向き
Tips2内容,Tips2の説明文,<deco>おすすめできる人</deco><br>軽度〜中等度ズレを治したい方<br>矯正しているのがバレたくない方<br>食事を気にしたくない方<br><br><deco>検討が必要な方</deco>重度の不正咬合がある方<br>顎関節の症状が強い方
Tips2画像パス,Tips2セクションの画像,./images/Tips2.webp
Tipsタブ3タイトル,Tipsセクションの3つ目のタブ,選び方
Tips3内容,Tips3の説明文,<deco>日本での症例数・製造数が多いブランド</deco>であるか？マウスピース矯正だけではなく、<deco>ワイヤー矯正も提案</deco>してくれるか？通院回数や24時間サポートがあるか、費用面では基本料金だけでなく<deco>追加料金が発生しないか？</deco>などをきちんと抑えているクリニックだと負担も少なく理想的な歯並びを目指せるでしょう！
Tips3画像パス,Tips3セクションの画像,./images/Tips3.webp
比較表タイトル,比較表セクションの見出し,で人気のマウスピース矯正
比較表サブタイトル,比較表のサブタイトル,クリニックを<span class=""accent-text"">徹底比較</span>
詳細バナー画像パス,詳細セクションのバナー画像,./images/details_header_bannar3.webp
注意事項HTML,詳細セクションの注意事項HTML,"<div class=""main-disclaimer""><span id=""main-arrow"" style=""font-size: 8px; color: rgb(153, 153, 153); transition: transform 0.2s; transform: rotate(180deg);"">▼</span><div id=""main-content"" class=""main-disclaimer-content"" style=""display: block; padding: 5px; background-color: rgb(252, 252, 252); border-right: 1px solid rgb(240, 240, 240); border-bottom: 1px solid rgb(240, 240, 240); border-left: 1px solid rgb(240, 240, 240);""><p>「矯正開始後の通院は原則不要※1」※1 初回診断のご来院と、矯正開始前・矯正終了後の処置のご来院をお願いしています。<br>「歯並びの適応について」※記載のない歯並びでもお気軽にご相談ください。※記載の歯並びであっても、Oh my teethのマウスピース矯正の適応外と診断される場合もございます。※症状が強い場合は適応にならない場合があります。<br>「治療期間について」※治療期間は歯並びの状態や年齢などによって個人差があります。<br>「痛みについて」※痛みの感じ方には個人差があります。<br>「実績について」※2021年6月〜2023年10月の契約者（一部モニター除く）</p></div></div>"